Userid,Sentence,Date,Emotion
1,i hope he will pull out the tissue paper himself but i feel like to him sunday will be just another day to be cute and wonderful,2023-05-08,joy
1,i also feel it is unfortunate that nearly all the readers of going to meet the man will be african americans unlike myself,2023-06-15,sadness
1,i look and feel miserable,2024-03-18,sadness
1,i try to share what i bake with a lot of people is because i love people and i want them to feel loved,2023-07-23,love
1,i feel very strange today,2024-02-02,fear
1,i have no extra money im worried all of the time and i feel so beyond pathetic,2023-01-23,sadness
1,i have a feeling that was because we opted to shoot more photojournalistically and completely prop free which is a personal fave of mine,2024-04-17,joy
1,i must say to get to this point where i feel nothing but just friendly feelings towards him takes alot of time,2023-09-24,joy
1,i feel that this is important in itself the fact that we all have our own individual way of grieving,2023-03-01,joy
1,i cant help to also feel a little restless,2023-09-09,fear
1,i have a lot to learn i feel like people are supportive of me,2024-04-20,love
1,i feel in perfect height or just height threads picture images,2023-07-03,joy
1,i feel like im an unwelcome presence whenever she is around,2024-01-15,sadness
1,i can really decode but im sorry i have to vomit my feelings out because i am so cranky and everything is getting on my nerves,2023-12-13,anger
1,i feel like ive been punished and i can turn it around and dont have anything to be afraid of,2024-02-15,sadness


1,i feel like the people i know are really generous and i have my needs met,,2023-06-22,joy
2,im feeling a bit out of my depth with my colouring skills amongst all this talent though so please be gentle with me,,2024-02-12,love
1,i feel like hes a little pissed at me,,2023-10-16,anger
2,i have gained some weight i feel very insecure in my self image,,2023-02-02,fear
1,i feel like i ve been having some issues with focus and exposure lately and i m not sure if it is my camera or me,,2024-01-16,joy
2,im feeling more fucked up than last night,,2023-12-03,anger
1,i can feel violent biff whole length is hit by thunder same desire fire is ignited very quickly,,2023-01-22,anger
2,i am reading something the saints have written i feel a real pang of sweet pain for the love they have for our lord,,2023-02-06,love
1,im not trying to sound sarcastic but only trying to make the point that amid the daily pressures of life as wife and mom we often may find ourselves feeling kind of unimportant or robotic if you will in carrying out our tasks,,2024-02-08,sadness
2,im not crying in a corner or feeling so out of control irritable that i cant handle it,,2024-02-27,anger
1,im feeling nostalgic cant beat the corys iframe allowfullscreen allowfullscreen frameborder height src http www,,2023-11-13,love
2,i love the foamy feel it is so gentle on the skin doesnt sting or irritate whatsoever,,2023-10-19,love
1,i feel so stupid at how easily i cry these days,,2023-01-17,sadness
2,i feel very privileged to watch such beautiful dancers move and call it work,,2023-09-25,joy
1,i feel cold in,,2023-07-28,anger
2,i really feel like damaged goods,,2023-05-17,sadness
1,i feel the cool edge of the barrel against my head,,2023-03-02,joy
2,i do feel completely isolated,,2024-03-25,sadness
1,i didnt feel all too devastated until i saw people running from the smoke and all,,2024-03-28,sadness
2,i am still feeling good,,2023-11-08,joy
1,i saw lil seb i feel in love and thought he be perfect to carry around with me while i explore baltimore,,2023-08-16,joy
2,i feel awful still but really,,2023-03-08,sadness
1,i always feel regretful a few weeks after,,2024-02-20,sadness
2,i have personally experienced this gut wrenching feeling and kicked myself later for making those dumb mistakes that result when anxiety gets in the way,,2024-03-22,sadness
1,i went from feeling helpless to powerful,,2023-11-28,sadness
2,i am actually feeling a little triumphant watching this economic crisis unfold,,2023-10-15,joy
1,i want to without feeling too inhibited,,2023-09-02,sadness
2,when i was doing research a few months ago,,2023-10-04,anger
1,i don t feel all that petty about crying over skin,,2024-01-16,anger
2,i feel insulted by saying real is bigger than man u real is a cows shit,,2023-06-25,anger
1,i love for my girls to have an imagination and read fair tales but i feel strongly that reality is also important,,2023-09-16,joy
2,i have heard that there are women out there whose pinterest experiences causes them to feel inadequate as mothers wives and friends,,2024-01-24,sadness
1,i ahem guess i havent been feeling compassionate,,2023-02-14,love
2,i run a full computer scan with my avast antivirus it shows no viruses however i m still feeling kind of paranoid about these programs,,2023-03-24,fear
1,i for one am feeling a bit anxious at how long we are staying but i know we need to do this,,2024-03-07,fear
2,i am feeling pretty pleased with the amount of work trackchanges has allowed me to document,,2023-07-25,joy
1,im honest im surprised at myself for feeling so emotional about it all having adopted a rather juvenile sneer against heaney as a bored year old in school,,2023-08-31,sadness


1,i wouldnt buy it but if someone gave me some id wear it if i was feeling a particularly vain that day but not really,2024-02-26,sadness
2,i like the new ones better i feel they are superior to the originals in every single way,2023-12-28,joy
1,i still don t feel devastated by the break up,2024-04-25,sadness
2,i can feel a sense of comfort with nostalgic sweetness,2023-06-20,love
1,i am at day and i am feeling terrific,2023-10-21,joy
2,i came home with these bits and bobs feeling very pleased with myself and ready for some sunny british weather,2023-05-06,joy
1,i almost feel a little bit weird about saying anything because it would almost feel like gossip,2023-04-10,surprise
2,i feel strongly that those who finger point and wish to control other peoples lives are not feeling very peaceful and content within their own lives,2024-01-15,joy
1,i have been feeling suitably punished,2024-03-05,sadness
2,i feel no need to offer it though i do feel a bit suspicious in the area of is she doing this just to try and lump all the people who have bothered to argue cogently with her in with the woman hating misogynists,2023-07-09,fear
1,i always feel vaguely suspicious giving my personal details to random strangers i tell myself not to give her my real date of birth,2024-03-13,fear
2,i rarely feel inspired and ready to write,2023-05-14,joy
1,i do reviews only on my personal experience please do not feel insulted or put off by my words i intend only to advise,2023-10-08,anger
2,i feel loyal to skirtsports,2023-03-13,love
1,i feel very vulnerable and exposed too when i was in school i never thought this was how my life was going to be,2023-07-16,fear
2,i have to think for days what to text him and i feel really nervous if he doesnt answer,2024-01-21,fear
1,i feel for the death of this innocent child i dont trust her or her story,2023-08-04,joy
2,i began to feel a lot better about the situation and decided to just keep doing what i was doing,2024-01-20,joy
1,i do know that when i see the colour purple it makes me feel calm,2024-04-02,joy
2,i don t speak more than a few words of the local language and i have to rely on him to translate the conversations for me i feel submissive,2023-10-18,sadness
1,i hope all of you epers feel terrific too,2023-11-29,joy
2,i feel that popular culture especially in the uk and the usa is mired in an unsavoury mix squalor and stupidity,2023-02-28,joy
1,i feel reassured that i was able to observe myself clinging with such clarity,2023-12-22,joy
2,i feel discouraged and realize face palm that i need to look at things with a different perspective to be grateful about anything i can find,2024-01-09,sadness
1,i feel for him and im sympathetic because i have known people who have struggled with alcohol and drug addiction,2023-07-14,love
2,i want to feel pretty or handsome or something,2024-04-25,joy
1,i do feels amazing and is an investment for something greater,2023-12-12,joy
2,i feel like its one of the most valuable tools in my art box,2023-01-17,joy
1,im just feeling insecure and while i can easily diagnose these dispositions it doesnt help,2023-06-25,fear
2,i have just been feeling so thankful humbled and blessed for my family and where we are in our life,2023-09-09,joy
1,i want to be happy again and i have forgotten what it is like to feel content,2024-01-13,joy
2,i feel greatly humiliated by the beauty of everything,2024-04-02,sadness
1,ive been sitting in my wheel chair to move laundry and while the chair isnt terribly maneuverable due to the confines of the small laundry area at least it feels fairly safe even it it is still quite a struggle,2023-07-11,joy
2,i feel them at all and cannot just be content becoming a widow nun derby girl or something is what they become for me in my head,2023-02-22,joy
1,i love for my girls to have an imagination and read fair tales but i feel strongly that reality is also important,2023-09-16,joy
2,i want to feel good but during that short week you don t get a chance,2023-06-01,joy
1,i ahem guess i havent been feeling compassionate,2023-02-14,love
2,i feel bitter about me being like this but then i really am not,2024-04-29,anger
1,i began feeling shaky my heart was sort of skipping around i felt like someone who had been drinking coffee all day long,2023-04-05,fear
2,i feel like a super hero now that she naps amp sleeps in her crib,2023-10-17,joy
1,i want to without feeling too inhibited,2023-09-02,sadness
2,i feel the cool edge of the barrel against my head,2023-03-02,joy
1,i feel like such a goof ball for the things i am curious about but i see life as this adventure that i get to embark on and i want to squeeze every ounce of good from it,2023-05-12,surprise
2,i feel like im alone in missing him and because of that i feel a bit foolish for missing him as much as i do,2023-10-19,sadness
1,i began feeling a lot better about the situation and decided to just keep doing what i was doing,2023-11-28,sadness
2,i am feeling so invigorated and so ready to keep pushing on to goal,2023-02-12,joy


